DATE,CUSTOMER ,ADDRESS,QUANTITY ,,RATE,,
,,3115 OLD STATE RD WEST ROCKHILL TWP PA,"this is coming up as Telford, please confirm before quoting",STONE,$14.47/ton,,
,,"802 Cooper Rd, Voorhees Township, NJ 08043",,stone,$12.63/ton,,
,,GUYOT LANE PRINCETON ,,SAND EW,$9.91/TON,,
,,60 GATEWAY BLVD HILLSBOROUGH,,STONE,$3.85/TON,,
,,"1300 IMPERIAL WAY WEST DEPTFORD, NJ",,stone,$13.89/TON,,
,,569 HALLS MILL RD FREEHOLD,,STONE,$10.23/TON,,
,,569 HALLS MILL RD FREEHOLD,,SAND EW,$10.36/TON,,
03/13/2025,Block 34,"1 ENGLISH LN, OCEAN TWP, NJ 07712",,Stone,$11.99/TON,,
,,"8002 Anchor Street
Harvey Cedars, NJ
",,stone,$12.60/TON,,
,,"Long Beach Blvd & E 43rd St
Long Beach, NJ
",,stone,$11.84/TON,,
,,"3 Century Drive, Parsippany-Troy Hills, NJ 07054",2000,stone,8.90/ton,,
,,"141 CARTER BLVD WILLIAMSTOWN, NJ",,SAND EW/FR,FR $3.79/ton,,
,,"141 CARTER BLVD WILLIAMSTOWN, NJ",,EW,EW  $14.86/TON,,
,,100 POLHEMUS LN BRIDGEWATER,,STONE,$5.43/TON,,
,,106 PUPEK RD SOUTH AMBOY,,STONE,$9.03/TON,,
,,3 CENTURY DR PARSIPPANY TROY HILLS,,STONE,$8.90/TON,,
,,219 WYCOFF MILLS RD EAST WINDSOR,,STONE,$7.58/TON,,
,,"726 Kaighns Ave, Camden NJ",,STONE,$13.38/TON,,
,,"2571 Main St Ext. Sayreville, NJ 08872",,Sand EW,$11.81/ton,,
,,"2571 Main St Ext. Sayreville, NJ 08872",,Stone,$8.84/ton,,
,,"280 RTE 36 WEST LONG BRANCH, NJ",,Stone,12.11,,
,,"Windcrest Ct Millstone, NJ.",,sand,$10.48/ton,,
,,"Windcrest Ct Millstone, NJ.",,stone,$8.65/ton,,
,,"Windcrest Ct Millstone, NJ.",,crushed,ET CC $3.79/TON,,
,,7 & 9 E crystal lake Ave Haddon Twp. NJ 08018,5 loads,stone,$12.57/TON,,
,,"Cross St & Augusta Blvd, Lakewood, NJ 08701",,sand,$7.98/ton,,
,,802 Cooper Rd Voorhees NJ,,stone,$12.63/TON,,
,,405 CLENDENNY AVE JERSEY CITY,,STONE,$11.18/TON,,
,,RT 33 & WINDCREST CT MILLSTONE,,STONE,$8.65/TON,,
,,RT 33 & WINDCREST CT MILLSTONE,,SAND EW,$10.48/ton,,
,,909 RIVER RD PISCATAWAY ,,STONE,$6.76/TON,,
,,Mill road and Woodbridge ave middlesex ,"comes up as Edison, please confirm before quoting",SAND EW,$11.62/TON,,
,,Mill road and Woodbridge ave middlesex ,"comes up as Edison, please confirm before quoting",assuming stone??,$7.96/ton,,
,,"660 Ocean Ave, Lakewood, Nj 08701",,sand,$8.47/ton,,
,,76 OAK GROVE RD FLEMINGTON,,STONE,$8.02/ton,,
,,76 OAK GROVE RD FLEMINGTON,,CC ET,$12.12/ton,,
,,315 BOSTON BLVD SEA GIRT,,STONE,$12.17/TON,,
,,"4046 Susquehanna Ave
Wildwood, New Jersey",,sand,PN - $10.78/TON,,
,,"4046 Susquehanna Ave
Wildwood, New Jersey",,stone,$21.13/ton,,
,,"127 Hartford Ave
Atlantic City NJ 08401
",,sand,EW - $9.14/TON,,
,,Leon Ave Delran NJ  ,5000,stone,$12.48/TON,,
03/18/2025,TAMCO,,1000,FR SAND,$6.76/ton,,
,,"255 East Main Street in Moorestown, NJ.  ",,STONE,$10.99/ton,,
,,1201 RT 33 HAMILTON,,CC ET,$6.76/ton,,
,,370 SCOTCH RD EWING,,SAND EW,$11.18/ton,,
,,370 SCOTCH RD EWING,,STONE,$6.69/ton,,
,,210 HARDING RD FREEHOLD,,STONE,$10.35/ton,,
,,2633 WHITEHOUSE HAMILTON SQUARE RD HAMILTON,,STONE,$7.64/ton,,
,,NJTPKE SB MILE MARKER67.8 SOUTH BRUNSWICK,,STONE,$8.15/ton,,
,,"503 Monroeville Rd., Swedesboro ",,stone,$16.85/ton,,
,,370 SCOTCH RD EWING ,,CC ET,$7.60/ton,,
,,Wilderness Drive & old egg harbor rd Voorhees Twp,,stone,$12.92/TON,,
,,airport rd bayville nj ,,stone,$11.24/TON,,
,,airport rd bayville nj ,,crushed,SH CC - $8.23/TON,,
,,airport rd bayville nj ,,sand,EW - $7.32/TON,,
,,509 Spicer Ave Wildwood Nj,,stone,$21.13/ton,,
